Nr_IMO;Nazwa_statku;Ladownosc
9551909;BOA HEIMDAL;490
9551961;HAPPY DRAGON;14784
9552020;GRONA BIESSUM;3500
9552032;REYMAR;3500
9552044;MIRAMAR;3500
9552056;EMSWAVE;3500
9552068;EMSTIDE;3500
9552070;FAROMAR;3500
9552082;GRONA NANSUM;3500
9552953;STOVE OCEAN;31864
9553012;GLOBAL HORIZON;21192
9553244;OBSERVATOR;32987
9554030;ANITA N;33044
9554157;MUZAFFER ANA;8601
9554781;VLIEBORG;7367
9555149;PAPA JOHN;33044
9555321;ONIKS;3505
9555333;SERDOLIK;3505
9555345;CHAROITE;3505
9555357;YASHMA;3505
9556313;LONGRUN;3603
9556818;FEHN COURAGE;1905
9556820;FEHN CAPE;1905
9557367;FEHN CALEDONIA;1934
9557379;FEHN COMPANION;1934
9557381;WILSON ROTTERDAM;1904
9557393;FEHN CALYPSO;1934
9557408;WILSON BERGEN;1904
9558000;KARINA C;4151
9558012;KARLA C;4151
9558024;KELLY C;4151
9558036;KIKKI C;4151
9558048;KITTY C;4151
9558050;KIMBERLY C;4151
9558397;CHEM SIRIUS;11994
9558737;RAINBOW HARMONY;22456
9559092;FULDABORG;8911
9559614;EEMS SOLAR;1862
9559626;EEMS SPIRIT;1862
9561801;ARKI;17986
9561875;APOGEE SPIRIT;17986
9562453;EOS ESPERANCE;21213
9565194;FAIRPLAY-35;785
9565754;CHEMROAD HOPE;19984
9566473;AM BREMEN;31753
9566784;OSTBENSE;5044
9566796;ANNA;5044
9568249;ELBEBORG;7680
9568328;EEBORG;7680
9569528;BBC MAGELLAN;5344
9570668;BBC LAGOS;7138
9570670;BBC LIVORNO;7138
9571208;GRACELAND;459
9571272;PROMISE 2 ;22927
9571387;BBC PARANA;12980
9571404;PROMISE 3;22927
9571442;KOTOR;22927
9571636;GERTRUDIS;22414
9572006;MULTRATUG 20;463
9573074;WILLEM DE VLAMINGH;6807
9573634;ATLANTIC;2981
9573816;TRAMONTANA;17025
9574004;TRITON SEAHAWK;30653
9574028;NORD IMABARI ;23264
9574303;ALIZEE;2622
9574315;ELENA;2588
9576222;STOKKE SENIOR;375
9576703;ANTON ;2997
9576739;BLU TIDE;23054
9576765;RUDOLF SCHULTE;19793
9576777;INTREPID SEAHAWK;19793
9577757;FORMENTERA;24210
9578012;JS ALULAR;5036
9578036;JS LEKVAR;5036
9578751;BBC BAHRAIN;6309
9579391;UNISON STAR;24735
9579406;UNISON POWER;24735
9579468;KRYSSHOLM;2870
9580027;MARATHA PRUDENCE;19785
9580780;PIETRO BENEDETTI;6351
9582506;KARPATY;43025
9582855;NIKLAS;2452
9582867;HELEN ANNA;2450
9583859;EVA;3293
9583897;AARGAU;20809
9583902;ANETTA;3292
9584487;HELENA SCHEPERS;10318
9584865;KATHARINA SCHEPERS;10318
9584982;H.CAN;5860
9584994;AMISOS;5860
9586447;MAR;5235
9587180;MAPLE GLORY;20867
9589712;LORD MOUNTBATTEN;17025
9590785;STENTOR;17019
9591820;LIEKE;7580
9592719;ATHINA CARRAS;44190
9592745;AVIONA;33044
9593658;KOTA BAYU;18189
9593713;VIENNA WOOD N;31540
9594224;SZCZECIN;24145
9594236;KOSZALIN;24109
9594248;GDYNIA;24145
9594250;PUCK;24145
9594303;VECTIS HARRIER;6190
9595890;FEDERAL SKEENA;24196
9595917;FEDERAL SUTTON;24177
9596026;NORDLOIRE;24195
9597410; CORETALENT OL;19816
9597630;PETRA;21192
9597783;GALATEIA;44102
9598165;CRINIS;17025
9598282;VELVET;19943
9598830;NEVA LEADER 3;5686
9598878;NEVA LEADER 7;5686
9604184;VIKINGBANK;7367
9604782;TOKOMARU BAY ;17027
9605061;UNION BIENVENIDO;17019
9607576;CL SEVEN;29218
9609653;FEDERAL YELLOWSTONE;24177
9609665;FEDERAL YAMASKA;24177
9610341;SAN PIETRO;5422
9611539;M.P.R.3;312
9612246;ZAMBESI;24341
9612325;NORD SHANGHAI;22746
9612533;ABIS BREMEN;2978
9612545;PEAK BRESKENS;2978
9613630;EEMS DOVER;5198
9614282;KING COFFEE;20992
9617296;RMS ROTTERDAM;2589
9617301;RMS BREMEN;2589
9617325;SANTA HELENA I;2589
9617337;MARTEN;2589
9617961;TAI PING SHAN;32962
9618446;ALEXANDER VON HUMBOLDT II;763
9619878;TIGER NORTH;42114
9619892;TAIZHOU PIONEER;20954
9621871;ADFINES SOUTH;24167
9622758;YM AMAZON;7370
9623738;EMERALD STAR;42995
9624328;EVER GALLANT;17027
9624330;IOANNIS S;17027
9624500;SEA STAR;33042
9624811;LADY ANNA;2544
9624823;LADY ANNEKE;2544
9624835;LADY ALEXANDRA;2544
9624847;LADY AMALIA;2544
9624859;LADY ADELE;2544
9624861;LADY AMI;2544
9625803;BEKS NAZIK;33277
9626651;INDIAN HARMONY;42576
9628128;HANDY PERTH;23495
9628257;ATLANTIC VENUS;21441
9628568;BUNUN WISDOM;23264
9631072;VOLGABORG;7367
9631345;ONEGO ROTTERDAM;5751
9631371;TRADE NAVIGATOR;5667
9633006;SANTA BARBARA;34830
9635248;RIJN CONFIDENCE;21203
9637143;CRESTY;23433
9638147;CIELO DI MONACO;25303
9638434;BELLE PLAINE;23405
9638769;ARKLOW BANK;5065
9638783;ARKLOW BEACH;5065
9638795;ARKLOW BEACON;5065
9638812;ARKLOW BREEZE;5065
9639464;LOCH LOMOND;24020
9640059;SANTA URSULA;34794
9650482;EXEBORG;7680
9650585;FAIRMASTER;18099
9650901;ARCTIC ROCK;2989
9650999;NIMERTIS;17025
9656412;SAKIZAYA BRAVE;40350
9656553;SIDER MOMPOX;9989
9658109;EEMS DUNDEE;4678
9658355;ECO DREAM;5452
9658367;ECO GREEN;5452
9659799;POLA LADOGA ;24199
9660152;ULTRA CAPE TOWN;13110
9660566;SAINTY VISIONARY;43974
9660592;MEDI YOKOHAMA;32370
9660932;ATLANTIS;365
9660944;DIAN KINGDOM;365
9663702;QING FENG LING;22494
9663738;LENTIKIA;25303
9666429;AFRICAN HHB;19213
9666443;AFRICAN LILY;19213
9666455;AFRICAN MAGNOLIA;19213
9668570;SPAUWER;9781
9670767;VENTURE DYLAN;26411
9670779;VENTURE SPIRIT;26411
9671060;FEDERAL CHURCHILL;20789
9671072;FEDERAL CLYDE;20789
9671096;FEDERAL CARIBOU;20789
9671462;EEMSLIFT NELLI;5460
9671486;EEMSLIFT HENDRIKA;5460
9675585;MORNING CHERRY;59525
9675602;KYPROS SEA;40872
9677399;ALICE;2911
9677404;HELGE;2911
9680243;CHIOS VICTORY;23435
9680255;CHIOS FREEDOM;23435
9681974;PONTICA;6789
9682930;SILVERGATE;40937
9685097;BBC LOUISE ;9719
9688647;SEABONI;35884
9690884;FENGNING;24785
9690896;FENGTIEN;24785
9691034;LA CHESNAIS;24604
9691149;SUNRISE BRIGHT;21728
9691498;NY TRADER I;23263
9695224;HUANGHAI STRUGGLER;22362
9695470;MULTRATUG 29;453
9696450;IOLAOS;36300
9697325;BBC BIRTE H;11494
9699969;THORCO LEGION;13110
9700005;WESTERN LONDON ;24868
9700964;ANGELIC ZEPHYR;23224
9701932;SPAR PYXIS;36311
9705720;CHEM HOUSTON;12129
9707364;TR NIKLAS;36353
9707833;BUNUN FORTUNE;23281
9708033;ARMIA KRAJOWA;25278
9708265;MOUNT HOPE;17027
9709465;ALKYONIS;23266
9710139;BTG RAINIER;43229
9710177;CHIPOLBROK PACIFIC;24778
9710335;B GAS SUMMIT;3589
9710505;CP TIANJIN;36332
9710892;JOBST OLDENDORFF;34612
9711470;ECO INVICTUS;4294
9712967;SCARABE;34553
9712979;PHOENIX RISING;34553
9713557;ECO UNIVERSE;4258
9713818;SAKIZAYA FUTURE;43007
9714068;NAVIG8 ALMANDINE;23676
9714264;HUPEH;24785
9715206;LINTAN;24785
9717682;ALCOR;44034
9717694;ARGONAUT;44034
9718997;AGRI GRANDE;43956
9719513;ECO CZAR;4748
9721669;SYMPHONY SUN;6749
9723954;SEA BREEZE;23741
9725380;XING ZUN HAI;24991
9725861;HYDE PARK;12145
9727182;LOWLANDS HOPE;34229
9728887;NORTHERN ROCK;2989
9729879;AIANTAS;44043
9731389;PADEREWSKI;24778
9732149;IVS CRIMSON CREEK;32750
9732773;TRF MANDAL;23676
9734264;GREENLAND;4284
9736042;IVS SUNBIRD;21181
9738894;BUNUN HERO;23260
9740158;OCEAN OUTSTANDING;36415
9740902;IVS NORTH BERWICK;34233
9740938;BARNEY;382
9741138;INDUSTRIAL SKIPPER;11619
9742417;THORCO LOGIC;13110
9743215;WESTERN MIAMI;24868
9746164;FAIRCHEM CUTLASS;11917
9749099;TRITON;3450
9749362;WILLARD J ;17858
9749790;STAR PLOEG;11930
9751315;DE SHENG HAI ;25622
9751365;LV SONG HAI;24198
9754903;RUEN;27781
9755842;PEGASUS;21504
9755866;AVRA GR;21547
9757096;ARKLOW CAPE;2999
9757101;ARKLOW CASTLE;2999
9757890;RED ORCHID;34618
9758636;CHARLOCK;3952
9759666;GLORIOUS SUNRISE;23232
9760158;IVS HAYAKITA;34578
9760378;LADY ARIETTE;2544
9760380;LADY ALIDA;2544
9760392;LADY ANNE-LYNN;2544
9760407;LADY ANNE BEAU;2544
9760419;LADY ASTRID;2544
9762912;TRAMMO LAOURA;25611
9764099;ORANGE HARMONY;43012
9764958;SEABOURN OVATION;41865
9767704;GARDNO;22982
9767716;JAMNO;22982
9769104;EEVA VG;3405
9769116;MIRVA VG;3405
9772539;ARKLOW VIEW;2999
9772565;ARKLOW VALOUR;2999
9772618;ARKLOW VILLA;2999
9773313;ODELMAR;24184
9774329;CLIPPER INNOVATION;35832
9775177;DORIC SHOGUN;35823
9778002;FORTUNATE;3706
9778703;ADHEMAR DE SAINT-VENANT;7531
9780134;SAKIZAYA HERO;43291
9786798;TELMO;3978
9787950;ISA ;221
9799771;LOWLANDS FUTURE;34229
9799800;OCEAN PHOENIX TREE;35334
9800348;BUGSIER 11;491
9805427;INA LEHMANN;3450
9808247;BUGSIER 12;491
9811945;PRT VEGA;35810
9815317;MONIKA;3415
9815329;ARAMIS;3415
9815331;TREVILLE;3415
9829784;MOSTRAUM;6045
9835769;PLANA;29076
9839791;CAPTAIN HADDOCK ;35000
9851103;POLA ANATOLIA;6266
9851115;POLA ANFISA;6266
9851610;CRYSTAL LAVENDER;4324
9869588;VALKYRIE;34618
9874533;MORWENNA 3002;1924
9999999;TEST24_03_17;39727
